nOld,Long,Lat,County,StateCode,State,NationCode,Nation,Group,Order,,,,,,,,,,,
269,-99.03575897,38.69184113,Barton,KS,Kansas,ML,Midlands,858,26443,,,,,,,,,,,
271,-99.03575897,38.69184113,Barton,KS,Kansas,ML,Midlands,858,26451,,668,-103.3673172,35.98747635,Union,NM,New Mexico,ML,Midlands,1793,52894
317,-99.03575897,38.69184113,Russell,KS,Kansas,ML,Midlands,937,27293,,669,-103.3615875,35.99893951,Union,NM,New Mexico,ML,Midlands,1793,52895
311,-99.03575897,39.13301849,Osborne,KS,Kansas,ML,Midlands,924,27112,,670,-103.3615875,36.07915115,Union,NM,New Mexico,ML,Midlands,1793,52896
318,-99.03575897,39.13301849,Russell,KS,Kansas,ML,Midlands,937,27294,,671,-103.7855759,36.08488464,Union,NM,New Mexico,ML,Midlands,1793,52897
325,-99.06439972,39.56273651,Smith,KS,Kansas,ML,Midlands,945,27366,,672,-103.7913055,36.15936661,Union,NM,New Mexico,ML,Midlands,1793,52898
312,-99.04148865,39.56273651,Osborne,KS,Kansas,ML,Midlands,924,27113,,,,,,,,,,,
324,-99.04148865,39.56273651,Smith,KS,Kansas,ML,Midlands,945,27365,,,,,,,,,,,
625,-99.16753387,39.99818039,Franklin,NE,Nebraska,ML,Midlands,1652,49604,,673,-104.0090256,36.16509628,Union,NM,New Mexico,ML,Midlands,1793,52899
323,-99.07012939,40.00391388,Smith,KS,Kansas,ML,Midlands,945,27361,,674,-104.0147552,36.20520401,Union,NM,New Mexico,ML,Midlands,1793,52900
326,-99.07012939,40.00391388,Smith,KS,Kansas,ML,Midlands,945,27367,,675,-104.0090256,36.51460266,Union,NM,New Mexico,ML,Midlands,1793,52901
624,-99.07012939,40.00391388,Franklin,NE,Nebraska,ML,Midlands,1652,49603,,676,-104.0147552,36.88129425,Union,NM,New Mexico,ML,Midlands,1793,52902
626,-99.1847229,40.35341644,Franklin,NE,Nebraska,ML,Midlands,1652,49605,,677,-104.0147552,36.98442459,Union,NM,New Mexico,ML,Midlands,1793,52903
635,-99.1847229,40.35341644,Kearney,NE,Nebraska,ML,Midlands,1671,49789,,678,-103.877243,36.98442459,Union,NM,New Mexico,ML,Midlands,1793,52904
618,-99.30504608,40.65708542,Buffalo,NE,Nebraska,ML,Midlands,1631,49283,,679,-103.6366043,36.98442459,Union,NM,New Mexico,ML,Midlands,1793,52905
616,-99.24201965,40.65708542,Buffalo,NE,Nebraska,ML,Midlands,1631,49281,,680,-103.3902359,36.98442459,Union,NM,New Mexico,ML,Midlands,1793,52906
615,-99.20191193,40.65708542,Buffalo,NE,Nebraska,ML,Midlands,1631,49280,,681,-103.1667862,36.98442459,Union,NM,New Mexico,ML,Midlands,1793,52907
614,-99.1847229,40.65708542,Buffalo,NE,Nebraska,ML,Midlands,1631,49279,,664,-103.0865707,36.99588394,Union,NM,New Mexico,ML,Midlands,1793,52886
636,-99.1847229,40.65708542,Kearney,NE,Nebraska,ML,Midlands,1671,49790,,682,-103.0865707,36.99588394,Union,NM,New Mexico,ML,Midlands,1793,52908
617,-99.27066803,40.66281509,Buffalo,NE,Nebraska,ML,Midlands,1631,49282,,,,,,,,,,,
620,-99.39672089,40.66854477,Buffalo,NE,Nebraska,ML,Midlands,1631,49285,,,,,,,,,,,
