"","Long","Lat","County","StateCode","State","NationCode","Nation","Group","Order"
"145",-87.1411514282227,33.6211624145508,"Jefferson","CO","Colorado","DS","Deep South",37,1785
"146",-87.1411514282227,33.638355255127,"Jefferson","CO","Colorado","DS","Deep South",37,1786
"147",-87.083854675293,33.638355255127,"Jefferson","CO","Colorado","DS","Deep South",37,1787
"148",-87.078125,33.6612701416016,"Jefferson","CO","Colorado","DS","Deep South",37,1788
"149",-87.0552062988281,33.6612701416016,"Jefferson","CO","Colorado","DS","Deep South",37,1789
"150",-87.0552062988281,33.6956481933594,"Jefferson","CO","Colorado","DS","Deep South",37,1790
"151",-87.0265579223633,33.6956481933594,"Jefferson","CO","Colorado","DS","Deep South",37,1791
"152",-87.0265579223633,33.7357559204102,"Jefferson","CO","Colorado","DS","Deep South",37,1792
"153",-87.0208282470703,33.7472152709961,"Jefferson","CO","Colorado","DS","Deep South",37,1793
"154",-87.0150985717773,33.7472152709961,"Jefferson","CO","Colorado","DS","Deep South",37,1794
"155",-87.0150985717773,33.7873191833496,"Jefferson","CO","Colorado","DS","Deep South",37,1795
"156",-86.9979095458984,33.7873191833496,"Jefferson","CO","Colorado","DS","Deep South",37,1796
"157",-86.9979095458984,33.7930526733398,"Jefferson","CO","Colorado","DS","Deep South",37,1797
"158",-86.9578018188477,33.7987823486328,"Jefferson","CO","Colorado","DS","Deep South",37,1798
"159",-86.9520797729492,33.8102378845215,"Jefferson","CO","Colorado","DS","Deep South",37,1799
"160",-86.9463500976562,33.8102378845215,"Jefferson","CO","Colorado","DS","Deep South",37,1800
"161",-86.9406204223633,33.8102378845215,"Jefferson","CO","Colorado","DS","Deep South",37,1801
"162",-86.9119644165039,33.8217010498047,"Jefferson","CO","Colorado","DS","Deep South",37,1802
"163",-86.889045715332,33.8560752868652,"Jefferson","CO","Colorado","DS","Deep South",37,1803
"164",-86.7343521118164,33.8503456115723,"Jefferson","CO","Colorado","DS","Deep South",37,1804
"165",-86.631217956543,33.7758636474609,"Jefferson","CO","Colorado","DS","Deep South",37,1805
"166",-86.5681915283203,33.7758636474609,"Jefferson","CO","Colorado","DS","Deep South",37,1806
"167",-88.2526931762695,33.7357559204102,"Lamar","CO","Colorado","GA","Greater Appalachia",38,1808
"168",-88.2068557739258,34.0623397827148,"Lamar","CO","Colorado","GA","Greater Appalachia",38,1809
"169",-87.9547500610352,33.5180282592773,"Lamar","CO","Colorado","GA","Greater Appalachia",38,1814
"170",-88.2756042480469,33.5294914245605,"Lamar","CO","Colorado","GA","Greater Appalachia",38,1815
