nOld,Long,Lat,County,StateCode,State,NationCode,Nation,Group,Order,NationGroup,n
185,-109.3604507,33.75294495,Greenlee,AZ,Arizona,EN,El Norte,73,3599,3,185
186,-109.3489914,33.77013397,Greenlee,AZ,Arizona,EN,El Norte,73,3600,3,186
187,-109.3260803,33.78159332,Greenlee,AZ,Arizona,EN,El Norte,73,3601,3,187
188,-109.2917023,33.77586365,Greenlee,AZ,Arizona,EN,El Norte,73,3602,3,188
189,-109.1656494,33.77586365,Greenlee,AZ,Arizona,EN,El Norte,73,3603,3,189
190,-109.0567856,33.77586365,Greenlee,AZ,Arizona,EN,El Norte,73,3604,3,190
191,-109.0510635,33.20290375,Grant,NM,New Mexico,EN,El Norte,1771,52224,3,191
192,-109.0510635,33.20290375,Greenlee,AZ,Arizona,EN,El Norte,73,3605,3,192
193,-108.9250107,33.20863342,Grant,NM,New Mexico,EN,El Norte,1771,52225,3,193
194,-108.5411224,33.20863342,Grant,NM,New Mexico,EN,El Norte,1771,52226,3,194
195,-108.1457901,33.20290375,Grant,NM,New Mexico,EN,El Norte,1771,52227,3,195
196,-108.0140076,33.19717407,Grant,NM,New Mexico,EN,El Norte,1771,52228,3,196
200,-107.8421173,33.19717407,Grant,NM,New Mexico,EN,El Norte,1771,52229,3,197
197,-107.8535767,33.15706635,Grant,NM,New Mexico,EN,El Norte,1771,52230,3,198
201,-107.8421173,33.11696243,Grant,NM,New Mexico,EN,El Norte,1771,52231,3,199
199,-107.847847,33.05966568,Grant,NM,New Mexico,EN,El Norte,1771,52232,3,200
198,-107.8535767,33.00236893,Grant,NM,New Mexico,EN,El Norte,1771,52233,3,201
202,-107.8249283,32.9622612,Grant,NM,New Mexico,EN,El Norte,1771,52234,3,202
203,-107.7848206,32.94507217,Grant,NM,New Mexico,EN,El Norte,1771,52235,3,203
205,-107.7733612,32.92215347,Grant,NM,New Mexico,EN,El Norte,1771,52236,3,204
204,-107.7848206,32.87059021,Grant,NM,New Mexico,EN,El Norte,1771,52237,3,205
207,-107.7275238,32.76745605,Grant,NM,New Mexico,EN,El Norte,1771,52238,3,206
208,-107.7275238,32.73880768,Grant,NM,New Mexico,EN,El Norte,1771,52239,3,207
206,-107.7504425,32.69869995,Grant,NM,New Mexico,EN,El Norte,1771,52240,3,208
209,-107.7275238,32.64713669,Grant,NM,New Mexico,EN,El Norte,1771,52241,3,209
210,-107.7160645,32.62421799,Grant,NM,New Mexico,EN,El Norte,1771,52242,3,210
211,-107.6931534,32.59556961,Grant,NM,New Mexico,EN,El Norte,1771,52243,3,211
212,-107.6931534,32.59556961,Luna,NM,New Mexico,EN,El Norte,1778,52422,3,212
213,-107.6931534,32.59556961,Luna,NM,New Mexico,EN,El Norte,1778,52439,3,213
228,-107.3092651,32.59556961,Do_a Ana,NM,New Mexico,EN,El Norte,1769,52182,3,214
230,-107.3092651,32.59556961,Do_a Ana,NM,New Mexico,EN,El Norte,1769,52207,3,215
231,-107.3092651,32.59556961,Luna,NM,New Mexico,EN,El Norte,1778,52423,3,216
229,-107.3092651,32.76745605,Do_a Ana,NM,New Mexico,EN,El Norte,1769,52183,3,217
248,-106.8852768,32.76745605,Do_a Ana,NM,New Mexico,EN,El Norte,1769,52184,3,218
249,-106.8852768,32.81902313,Do_a Ana,NM,New Mexico,EN,El Norte,1769,52185,3,219
265,-106.4555588,33.00236893,Do_a Ana,NM,New Mexico,EN,El Norte,1769,52186,3,220
273,-106.3581543,33.05966568,Do_a Ana,NM,New Mexico,EN,El Norte,1769,52187,3,221
275,-106.3581543,33.05966568,Otero,NM,New Mexico,EN,El Norte,1781,52517,3,222
274,-106.3581543,33.38051987,Lincoln,NM,New Mexico,EN,El Norte,1776,52376,3,223
276,-106.3581543,33.38051987,Otero,NM,New Mexico,EN,El Norte,1781,52518,3,224
270,-106.3753433,33.38625336,Lincoln,NM,New Mexico,EN,El Norte,1776,52377,3,225
271,-106.3753433,33.47792435,Lincoln,NM,New Mexico,EN,El Norte,1776,52378,3,226
272,-106.3696136,33.64981079,Lincoln,NM,New Mexico,EN,El Norte,1776,52379,3,227
299,-106.0544815,33.64981079,Lincoln,NM,New Mexico,EN,El Norte,1776,52380,3,228
305,-106.0487595,33.82170105,Lincoln,NM,New Mexico,EN,El Norte,1776,52381,3,229
307,-105.9398956,33.82170105,Lincoln,NM,New Mexico,EN,El Norte,1776,52382,3,230
308,-105.9398956,34.13682556,Lincoln,NM,New Mexico,EN,El Norte,1776,52383,3,231
309,-105.9398956,34.25141907,Lincoln,NM,New Mexico,EN,El Norte,1776,52384,3,232
310,-105.9398956,34.25141907,Torrance,NM,New Mexico,EN,El Norte,1792,52869,3,233
295,-106.1690826,34.25714493,Torrance,NM,New Mexico,EN,El Norte,1792,52870,3,234
267,-106.4211807,34.25141907,Torrance,NM,New Mexico,EN,El Norte,1792,52871,3,235
268,-106.4211807,34.41184616,Torrance,NM,New Mexico,EN,El Norte,1792,52872,3,236
269,-106.4211807,34.41184616,Valencia,NM,New Mexico,EN,El Norte,3082,90953,3,237
266,-106.4498291,34.41184616,Valencia,NM,New Mexico,EN,El Norte,3082,90954,3,238
251,-106.7592239,34.57227325,Valencia,NM,New Mexico,EN,El Norte,3082,90955,3,239
234,-107.206131,34.57227325,Valencia,NM,New Mexico,EN,El Norte,3082,90940,3,240
235,-107.206131,34.57227325,Valencia,NM,New Mexico,EN,El Norte,3082,90956,3,241
236,-107.2004089,34.95615387,Valencia,NM,New Mexico,EN,El Norte,3082,90941,3,242
237,-107.0858078,34.95615387,Bernalillo,NM,New Mexico,EN,El Norte,1763,52061,3,243
238,-107.0858078,34.95615387,Valencia,NM,New Mexico,EN,El Norte,3082,90942,3,244
233,-107.2175903,35.21971512,Bernalillo,NM,New Mexico,EN,El Norte,1763,52062,3,245
283,-106.2435684,35.21971512,Bernalillo,NM,New Mexico,EN,El Norte,1763,52051,3,246
284,-106.2435684,35.21971512,Bernalillo,NM,New Mexico,EN,El Norte,1763,52063,3,247
286,-106.2435684,35.21971512,Santa Fe,NM,New Mexico,EN,El Norte,1788,52743,3,248
280,-106.2492981,35.74110794,Santa Fe,NM,New Mexico,EN,El Norte,1788,52744,3,249
287,-106.2263718,35.75829697,Santa Fe,NM,New Mexico,EN,El Norte,1788,52745,3,250
289,-106.2091904,35.76402664,Santa Fe,NM,New Mexico,EN,El Norte,1788,52746,3,251
290,-106.2034607,35.78694534,Santa Fe,NM,New Mexico,EN,El Norte,1788,52747,3,252
293,-106.1748047,35.80413055,Santa Fe,NM,New Mexico,EN,El Norte,1788,52748,3,253
294,-106.1748047,35.82131958,Santa Fe,NM,New Mexico,EN,El Norte,1788,52749,3,254
292,-106.1919937,35.82704926,Santa Fe,NM,New Mexico,EN,El Norte,1788,52750,3,255
291,-106.2034607,35.81559372,Santa Fe,NM,New Mexico,EN,El Norte,1788,52751,3,256
288,-106.2263718,35.82704926,Santa Fe,NM,New Mexico,EN,El Norte,1788,52752,3,257
281,-106.2492981,35.82704926,Santa Fe,NM,New Mexico,EN,El Norte,1788,52753,3,258
278,-106.2492981,35.93018341,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52594,3,259
282,-106.2492981,35.93018341,Santa Fe,NM,New Mexico,EN,El Norte,1788,52754,3,260
285,-106.2435684,35.95883179,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52595,3,261
279,-106.2492981,35.98747635,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52596,3,262
247,-106.8910065,35.99320984,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52597,3,263
245,-106.8967361,36.19947433,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52598,3,264
214,-107.6415787,36.19947433,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52599,3,265
215,-107.6415787,36.27968597,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52600,3,266
216,-107.6415787,36.3427124,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52601,3,267
217,-107.6415787,36.65784073,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52602,3,268
218,-107.6243896,36.6635704,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52603,3,269
219,-107.6243896,36.8010788,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52604,3,270
220,-107.6014786,36.8010788,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52605,3,271
221,-107.6014786,36.8239975,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52606,3,272
222,-107.5098038,36.86410522,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52607,3,273
223,-107.4639664,36.89274979,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52608,3,274
225,-107.4524994,36.90994263,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52609,3,275
224,-107.4639664,36.93858719,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52610,3,276
226,-107.4467773,36.96723938,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52611,3,277
227,-107.4410477,36.98442459,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52612,3,278
232,-107.2748871,36.99588394,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52613,3,279
244,-106.9081955,36.98442459,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52614,3,280
257,-106.598793,36.98442459,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52615,3,281
262,-106.4727478,36.98442459,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52565,3,282
263,-106.4727478,36.98442459,Rio Arriba,NM,New Mexico,EN,El Norte,1783,52616,3,283
264,-106.4727478,36.98442459,Conejos,CO,Colorado,EN,El Norte,225,10223,3,284
261,-106.5128555,37.05318069,Conejos,CO,Colorado,EN,El Norte,225,10224,3,285
258,-106.5930634,37.15631485,Conejos,CO,Colorado,EN,El Norte,225,10225,3,286
256,-106.6045303,37.21360779,Conejos,CO,Colorado,EN,El Norte,225,10226,3,287
255,-106.6790085,37.24225616,Conejos,CO,Colorado,EN,El Norte,225,10227,3,288
254,-106.6847382,37.38549423,Conejos,CO,Colorado,EN,El Norte,225,10228,3,289
302,-106.0544815,37.39122391,Alamosa,CO,Colorado,EN,El Norte,216,10027,3,290
303,-106.0544815,37.39122391,Conejos,CO,Colorado,EN,El Norte,225,10229,3,291
300,-106.0544815,37.39122391,Alamosa,CO,Colorado,EN,El Norte,216,10018,3,292
301,-106.0544815,37.73500061,Alamosa,CO,Colorado,EN,El Norte,216,10019,3,293
304,-106.0544815,37.73500061,Saguache,CO,Colorado,EN,El Norte,269,11473,3,294
260,-106.5873337,37.74645996,Saguache,CO,Colorado,EN,El Norte,269,11474,3,295
259,-106.5930634,37.83813095,Saguache,CO,Colorado,EN,El Norte,269,11475,3,296
252,-106.6962051,37.83240509,Saguache,CO,Colorado,EN,El Norte,269,11476,3,297
253,-106.6962051,37.87251282,Saguache,CO,Colorado,EN,El Norte,269,11477,3,298
250,-106.8566284,37.92407608,Saguache,CO,Colorado,EN,El Norte,269,11478,3,299
246,-106.8967361,37.96991348,Saguache,CO,Colorado,EN,El Norte,269,11479,3,300
242,-106.9654922,37.96418381,Saguache,CO,Colorado,EN,El Norte,269,11481,3,301
243,-106.9368439,37.95272446,Saguache,CO,Colorado,EN,El Norte,269,11480,3,302
239,-107.0055923,37.94699478,Saguache,CO,Colorado,EN,El Norte,269,11482,3,303
240,-107.0055923,38.14179993,Saguache,CO,Colorado,EN,El Norte,269,11483,3,304
241,-106.9998627,38.41109085,Saguache,CO,Colorado,EN,El Norte,269,11484,3,305
277,-106.2664795,38.4225502,Saguache,CO,Colorado,EN,El Norte,269,11485,3,306
296,-106.1518936,38.41682053,Saguache,CO,Colorado,EN,El Norte,269,11486,3,307
